ID,f_Seq,RAh,RAm,RAs,DEd,DEm,DEs,Rad,Diam,F(Ha),F([SII]),F([OIII]),[SII]/Ha,[OIII]/Ha,X,OName
8,,13,36,43.7,-29,50,45.9,5.6,1.9,6.4,5.2,1.3,0.82,0.2,n,
225,,13,37,18.74,-29,53,50.6,6.3,2.4,6.2,5.0,8.3,0.81,1.34,n,BL71
140,,13,37,1.52,-29,50,14.7,2.4,1.9,6.2,6.1,2.8,0.98,0.45,n,BL36
188,,13,37,8.09,-29,52,21.1,2.3,2.5,5.7,6.4,2.3,1.13,0.41,n,D10-25
1,,13,36,39.99,-29,51,35.2,6.4,2.8,5.7,3.6,4.4,0.64,0.77,n,
69,,13,36,53.36,-29,50,38.4,3.1,1.6,5.7,3.0,2.5,0.54,0.44,n,
24,,13,36,48.45,-29,51,42.3,3.9,3.0,5.4,5.3,2.1,0.99,0.38,n,
6,,13,36,42.33,-29,52,17.3,5.6,1.9,5.1,5.1,0.6,1.0,0.12,n,
170,,13,37,6.16,-29,54,43.5,4.4,1.5,5.0,3.8,9.2,0.76,1.85,y,SW097;L311
224,,13,37,17.49,-29,53,35.8,5.7,2.3,4.9,5.4,1.3,1.1,0.27,n,BL70
41,,13,36,50.56,-29,53,3.9,3.4,0.8,4.7,3.0,1.7,0.65,0.35,y,L061
204,,13,37,11.09,-29,53,17.2,3.8,2.7,4.7,4.1,7.2,0.88,1.53,n,
133,,13,37,0.4,-29,53,22.9,2.0,1.5,4.4,4.4,2.4,0.99,0.55,y,L215
196,,13,37,9.69,-29,53,30.3,3.6,2.7,4.3,4.0,2.9,0.92,0.67,n,
111,,13,36,56.94,-29,54,10.7,3.3,2.8,4.3,4.6,0.0,1.08,0.0,n,
38,,13,36,50.22,-29,51,24.0,3.4,1.6,4.1,2.7,0.0,0.67,0.01,n,
14,x,13,36,46.39,-29,53,43.0,4.9,1.4,4.1,1.4,3.5,0.33,0.86,n,
72,,13,36,53.77,-29,54,41.1,4.3,1.9,3.7,3.2,3.1,0.86,0.83,n,
107,,13,36,56.29,-29,53,13.6,2.2,2.1,3.5,4.3,1.6,1.24,0.47,n,
5,,13,36,41.58,-29,49,56.4,6.8,1.8,3.3,2.5,1.7,0.75,0.53,n,
131,,13,37,0.19,-29,48,10.0,5.3,2.5,3.3,4.5,5.7,1.39,1.77,y,L205
103,,13,36,55.92,-29,53,10.9,2.2,1.1,3.1,3.1,2.8,1.0,0.91,n,
35,,13,36,49.82,-29,53,8.3,3.7,1.4,3.0,3.2,0.3,1.04,0.09,n,
2,,13,36,40.35,-29,51,6.7,6.5,1.4,2.9,1.6,3.9,0.53,1.34,n,
37,,13,36,50.13,-29,53,8.8,3.6,1.0,2.8,1.9,0.4,0.69,0.14,n,
309,,13,36,49.91,-29,52,59.3,3.5,1.4,2.8,1.0,3.0,0.38,1.08,y,D10-T4-04;L054
26,,13,36,48.99,-29,52,54.1,3.8,1.6,2.8,2.2,0.9,0.78,0.3,n,
129,,13,37,0.04,-29,54,17.1,3.3,1.3,2.6,1.2,0.9,0.48,0.35,y,SW051;L199
52,,13,36,51.47,-29,49,28.5,4.7,2.6,2.5,2.8,4.2,1.13,1.69,n,
62,,13,36,53.0,-29,50,23.9,3.4,1.8,1.6,1.7,2.3,1.11,1.43,n,
4,,13,36,41.5,-29,52,16.0,5.9,2.0,1.2,1.6,3.2,1.35,2.67,n,
314,,13,36,55.27,-29,54,2.9,3.3,1.3,0.8,0.0,4.9,0.0,5.87,y,SW026;L135
307,,13,36,47.99,-29,53,26.6,4.3,1.0,0.3,0.0,1.3,0.11,4.9,y,SW006;D10-T4-03;L044
