ID,F(Ha),RAh,RAm,RAs,DEd,DEm,DEs
SNR_59,3.7,23,57,42.7,-32,35,26.0
SNR_235,3.6,23,57,58.5,-32,35,16.7
SNR_67,3.6,23,57,43.0,-32,36,18.9
SNR_223,3.5,23,57,55.9,-32,35,49.4
SNR_103,3.4,23,57,44.5,-32,34,57.1
SNR_65,3.3,23,57,42.9,-32,35,13.3
SNR_127,3.3,23,57,45.8,-32,34,48.2
SNR_123,3.2,23,57,45.5,-32,34,57.9
SNR_47,3.2,23,57,42.0,-32,35,18.2
SNR_88,3.0,23,57,43.8,-32,35,57.2
SNR_215,2.9,23,57,55.4,-32,35,48.9
SNR_63,2.7,23,57,42.9,-32,34,56.9
SNR_31,2.5,23,57,41.2,-32,35,26.4
SNR_75,2.5,23,57,43.3,-32,35,00.2
SNR_133,2.5,23,57,46.7,-32,34,52.6
SNR_43,2.4,23,57,41.7,-32,34,39.1
SNR_141,2.4,23,57,48.2,-32,35,31.7
SNR_52,2.4,23,57,42.1,-32,34,50.4
SNR_57,2.4,23,57,42.7,-32,36,12.2
SNR_56,2.3,23,57,42.4,-32,36,02.2
SNR_220,2.0,23,57,55.7,-32,35,30.7
SNR_140,1.9,23,57,48.2,-32,35,30.1
SNR_25,1.9,23,57,41.1,-32,35,27.3
SNR_129,1.8,23,57,45.9,-32,34,57.7
SNR_183,1.7,23,57,52.4,-32,35,03.4
SNR_112,1.7,23,57,45.0,-32,34,50.7
SNR_82,1.6,23,57,43.4,-32,34,31.8
SNR_50,1.3,23,57,42.0,-32,36,06.4
SNR_73,0.9,23,57,43.2,-32,35,24.3
