SNR_57	23:57:42.7	−32:36:12.2	2.4 ± 0.1	–	−0.57 ± 0.03	−0.61 ± 0.03	–	0.80	n	y	n	n	n	19.49 ± 0.50
SNR_58	23:57:42.7	−32:34:39.1	230.1 ± 0.5	–	−0.59 ± 0.00	−0.69 ± 0.00	–	1.71	n	y	n	n	n	23.76 ± 0.53
SNR_59	23:57:42.7	−32:35:26.0	3.7 ± 0.1	–	−0.45 ± 0.02	−0.85 ± 0.03	–	0.80	n	y	n	n	n	27.73 ± 0.58
SNR_60	23:57:42.7	−32:35:42.8	15.0 ± 0.2	–	−0.35 ± 0.01	−0.48 ± 0.02	–	1.42	y	y	n	n	n	25.36 ± 0.54
SNR_61	23:57:42.8	−32:35:29.5	17.2 ± 0.1	–	−0.62 ± 0.01	−0.58 ± 0.01	–	1.07	n	y	n	n	n	25.53 ± 0.50
SNR_62	23:57:42.8	−32:35:21.1	4.6 ± 0.2	–	−0.54 ± 0.06	−0.45 ± 0.07	–	0.80	n	y	n	n	n	28.06 ± 0.66
SNR_63	23:57:42.9	−32:34:56.9	2.7 ± 0.1	–	−0.61 ± 0.04	−0.82 ± 0.04	–	0.80	n	y	n	n	n	24.11 ± 0.70
SNR_64	23:57:42.9	−32:35:28.4	5.1 ± 0.1	1.83 ± 0.05	−0.41 ± 0.02	−0.55 ± 0.03	−0.01 ± 0.04	1.01	n	y	y	n	y	24.65 ± 0.52
SNR_65	23:57:42.9	−32:35:13.3	3.3 ± 0.1	1.33 ± 0.05	−0.31 ± 0.03	−0.60 ± 0.04	−0.13 ± 0.05	1.02	y	y	y	n	y	26.17 ± 0.77
SNR_66	23:57:42.9	−32:35:38.5	17.5 ± 0.2	–	−0.47 ± 0.01	−0.52 ± 0.01	–	1.46	n	y	n	n	n	24.16 ± 0.53
SNR_67	23:57:43.0	−32:36:18.9	3.6 ± 0.1	1.27 ± 0.04	−0.52 ± 0.02	−0.65 ± 0.03	0.46 ± 0.04	0.80	n	y	y	y	y	29.88 ± 0.76
SNR_68	23:57:43.0	−32:36:20.3	7.4 ± 0.1	–	−0.47 ± 0.02	−0.63 ± 0.02	–	1.08	n	y	n	n	n	27.53 ± 0.70
SNR_69	23:57:43.0	−32:34:19.7	11.1 ± 0.3	–	−0.28 ± 0.03	−0.59 ± 0.04	–	1.85	y	y	n	n	n	27.45 ± 0.73
SNR_70	23:57:43.1	−32:36:11.8	46.0 ± 0.2	20.51 ± 0.14	−0.59 ± 0.01	−0.72 ± 0.01	0.66 ± 0.01	1.42	n	y	y	y	y	24.78 ± 0.52
SNR_71	23:57:43.2	−32:35:13.5	14.0 ± 0.1	5.92 ± 0.09	−0.39 ± 0.01	−0.55 ± 0.01	−0.19 ± 0.02	1.47	y	y	y	n	y	30.62 ± 0.89
SNR_72	23:57:43.2	−32:35:20.8	4.8 ± 0.1	–	−0.50 ± 0.02	−0.74 ± 0.03	–	1.18	n	y	n	n	n	22.88 ± 0.56
